campaign_candidate,adgroup_candidate,ad_role,apply_status,budget_gate,landing_path,canonical,h1,intent,target_query_examples,expected_events,tracking_required,lead_success_event,utm_source,utm_medium,utm_campaign,utm_content,form_id,cta_id_prefix,primary_cta,safe_claims_note
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_general,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/remont-ventilyatsii-restoranov.html,https://mospochin.ru/remont-ventilyatsii-restoranov.html,Ремонт вентиляции ресторанов и кафе,commercial-repair,"ремонт вентиляции ресторана, ремонт вентиляции кафе",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_general,remont_ventilyatsii_restoranov_form_1,remont_ventilyatsii_restoranov,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_obsluzhivanie,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/obsluzhivanie-ventilyatsii-restoranov.html,https://mospochin.ru/obsluzhivanie-ventilyatsii-restoranov.html,Обслуживание вентиляции ресторанов,commercial-maintenance,"обслуживание вентиляции ресторана, сервис вентиляции кафе",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_obsluzhivanie,obsluzhivanie_ventilyatsii_restoranov_form_1,obsluzhivanie_ventilyatsii_restoranov,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_chistka,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/chistka-ventilyatsii-restoranov.html,https://mospochin.ru/chistka-ventilyatsii-restoranov.html,Чистка вентиляции ресторанов и кафе,commercial-cleaning,"чистка вентиляции ресторан, чистка вытяжки кафе",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_chistka,chistka_ventilyatsii_restoranov_form_1,chistka_ventilyatsii_restoranov,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_vytyazhka,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/remont-vytyazhki-restorana.html,https://mospochin.ru/remont-vytyazhki-restorana.html,Ремонт вытяжки на кухне ресторана,commercial-repair,"ремонт вытяжки ресторана, вытяжка кафе не работает",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_vytyazhka,remont_vytyazhki_restorana_form_1,remont_vytyazhki_restorana,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_pritok,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/remont-pritochnoj-ventilyatsii-restorana.html,https://mospochin.ru/remont-pritochnoj-ventilyatsii-restorana.html,Ремонт приточной вентиляции ресторана,commercial-repair,"ремонт приточной вентиляции ресторана, не работает приточка кафе",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_pritok,remont_pritochnoj_ventilyatsii_restorana_form_1,remont_pritochnoj_ventilyatsii_restorana,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_diagnostika,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/diagnostika-ventilyatsii-restorana.html,https://mospochin.ru/diagnostika-ventilyatsii-restorana.html,Диагностика вентиляции ресторана перед ремонтом,commercial-diagnostics,"диагностика вентиляции ресторана, проверить вентиляцию кафе",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_diagnostika,diagnostika_ventilyatsii_restorana_form_1,diagnostika_ventilyatsii_restorana,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_ne_tyanet,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/ventilyatsiya-restorana-ne-tyanet.html,https://mospochin.ru/ventilyatsiya-restorana-ne-tyanet.html,Вентиляция ресторана не тянет,commercial-symptom,"вентиляция ресторана не тянет, вытяжка плохо тянет кафе",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_ne_tyanet,ventilyatsiya_restorana_ne_tyanet_form_1,ventilyatsiya_restorana_ne_tyanet,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_ne_rabotaet,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/vytyazhka-restorana-ne-rabotaet.html,https://mospochin.ru/vytyazhka-restorana-ne-rabotaet.html,Вытяжка ресторана не работает,commercial-symptom,"вытяжка ресторана не работает, вытяжка на кухне кафе не включается",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_ne_rabotaet,vytyazhka_restorana_ne_rabotaet_form_1,vytyazhka_restorana_ne_rabotaet,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_dym,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/dym-na-kuhne-restorana.html,https://mospochin.ru/dym-na-kuhne-restorana.html,Дым и гарь на кухне ресторана,commercial-symptom,"дым на кухне ресторана, гарь в кафе кухня",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_dym,dym_na_kuhne_restorana_form_1,dym_na_kuhne_restorana,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_zapah,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/zapah-iz-kuhni-v-zal.html,https://mospochin.ru/zapah-iz-kuhni-v-zal.html,Запах из кухни попадает в зал,commercial-symptom,"запах из кухни в зал, запах еды в зале ресторана",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_zapah,zapah_iz_kuhni_v_zal_form_1,zapah_iz_kuhni_v_zal,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_shum,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/shumit-vytyazhka-restorana.html,https://mospochin.ru/shumit-vytyazhka-restorana.html,Шумит вытяжка ресторана,commercial-symptom,"шумит вытяжка ресторана, гудит вентиляция кафе",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_shum,shumit_vytyazhka_restorana_form_1,shumit_vytyazhka_restorana,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_vibratsiya,direct-ready,ready_for_manual_review_not_applied,start_small_only_after_event_smoke; no_autostrategy_until_clean_goals,/vibriruet-ventilyator-vytyazhki.html,https://mospochin.ru/vibriruet-ventilyator-vytyazhki.html,Вибрирует вентилятор вытяжки ресторана,commercial-symptom,"вибрирует вентилятор вытяжки, вибрация вентиляции ресторана",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_vibratsiya,vibriruet_ventilyator_vytyazhki_form_1,vibriruet_ventilyator_vytyazhki,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_avtomatika,direct-candidate,hold_until_query_or_lead_data,do_not_launch_initially; use only after search-query evidence,/avtomatika-ventilyatsii-restorana.html,https://mospochin.ru/avtomatika-ventilyatsii-restorana.html,Автоматика вентиляции ресторана,seo-type,"автоматика вентиляции ресторана, щит вентиляции кафе",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_avtomatika,avtomatika_ventilyatsii_restorana_form_1,avtomatika_ventilyatsii_restorana,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_fan,direct-candidate,hold_until_query_or_lead_data,do_not_launch_initially; use only after search-query evidence,/remont-ventilyatora-vytyazhki-restorana.html,https://mospochin.ru/remont-ventilyatora-vytyazhki-restorana.html,Ремонт вентилятора вытяжки ресторана,commercial-node,ремонт вентилятора вытяжки ресторана,page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_fan,remont_ventilyatora_vytyazhki_restorana_form_1,remont_ventilyatora_vytyazhki_restorana,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_fan_no_start,direct-candidate,hold_until_query_or_lead_data,do_not_launch_initially; use only after search-query evidence,/ventilyator-vytyazhki-ne-vklyuchaetsya.html,https://mospochin.ru/ventilyator-vytyazhki-ne-vklyuchaetsya.html,Не включается вентилятор вытяжки ресторана,commercial-symptom,вентилятор вытяжки не включается ресторан,page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_fan_no_start,ventilyator_vytyazhki_ne_vklyuchaetsya_form_1,ventilyator_vytyazhki_ne_vklyuchaetsya,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
mospochin_ventilyatsiya_restoranov_search_v11,vent_rest_fan_breaker,direct-candidate,hold_until_query_or_lead_data,do_not_launch_initially; use only after search-query evidence,/ventilyator-vytyazhki-vybivaet-avtomat.html,https://mospochin.ru/ventilyator-vytyazhki-vybivaet-avtomat.html,Вентилятор вытяжки выбивает автомат,commercial-symptom,вентилятор вытяжки выбивает автомат,page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,phone_click|whatsapp_click|form_open|form_start|form_submit_click|form_submit_attempt|form_submit_success|form_submit_error|form_validation_error,form_submit_success,yandex,cpc,ventilyatsiya_restoranov_search_v11,vent_rest_fan_breaker,ventilyator_vytyazhki_vybivaet_avtomat_form_1,ventilyator_vytyazhki_vybivaet_avtomat,Позвонить инженеру|Написать в WhatsApp|Оставить заявку,"Диагностика, ремонт, обслуживание, чистка доступных элементов, проверка тяги/вентилятора/автоматики; без обещаний СРО, лицензий, официального сервиса и гарантий прохождения проверок."
